	ra	dec	mag	x	y	z
61191	3.2931488427854965	1.2221104345741898	4.95	-0.3377468358258185	-0.05158231915717475	0.9398225041144816
61202	3.293660660588644	0.3949550768365595	4.8	-0.9123622424195917	-0.13982027653369658	0.3847667200748198
61225	3.2948733153529295	0.32074016892996404	5.03	-0.9378757576641004	-0.1448947109513282	0.31526906908912034
61275	3.2976216853260447	-0.7159680058220254	5.12	-0.745293390149441	-0.1172391494469244	-0.6563480360574828
61392	3.30383994438505	-1.206643222023261	2.69	-0.35148073162866633	-0.057531421452101446	-0.934425722483857
61428	3.3061097450772685	-0.4736629509299789	5.41	-0.877887467608512	-0.14574519843492567	-0.456149023181107
61429	3.3061058180864515	-0.8472055780114935	3.85	-0.6531411165884976	-0.10842759382013177	-0.749433211647247
61531	3.31229397021586	0.36761100344556435	5.49	-0.9196255281937031	-0.15852386305711394	0.3593870792556428
61547	3.3128361567479927	-0.13954891735392788	4.66	-0.9757946555401158	-0.16875121506855004	-0.1390964328523017
61596	3.3155829559247816	-0.6979100788893136	4.63	-0.7546189464130729	-0.13263700705824047	-0.6426178258288952
61717	3.3216491095394747	-0.22713542097858255	5.17	-0.9585642868508321	-0.1744853070207744	-0.22518744549379738
61739	3.3227502377645584	-0.8545112470076615	2.2	-0.6458431790000876	-0.11829354548448673	-0.7542501078791906
61748	3.323371749511194	-0.025296365846092815	2.74	-0.983208963042661	-0.18072179010460207	-0.02529366667692475
61767	3.324347214030133	0.1786453572494446	4.88	-0.9676971416832522	-0.17884668925715685	0.17769666209531812
61773	3.324603777430176	-1.0417140582993893	4.91	-0.4963122963738923	-0.09185793626307218	-0.8632706551328865
61819	3.3274330434141217	-0.8519494701848769	4.66	-0.647178817875119	-0.12167416320791118	-0.7525655956137101
61834	3.3285082534998125	-1.1005806105771168	5.27	-0.4451869600242174	-0.08419491763367319	-0.8914705752121349
61938	3.3336175303521007	-0.49434630684329556	5.46	-0.8640993599078622	-0.16799850505536973	-0.47445631885979106
